term,indicator,glossed_as,page,pre_context,post_context
gebragt,of,het verliest staan versonden te,#+ NL-HaNA_1.04.02_10000_0009.xml,het niet kan worden,"het verliest staan versonden te worden, miet ticulieren. dien verstande,"
geheel,of,"gedeeltelijk onverdeeld zijn gebleven, in",#+ NL-HaNA_1.04.02_10000_0010.xml,geed eijschen welke nog,"gedeeltelijk onverdeeld zijn gebleven, in zo verre en in dier"
Jndia,of,de Caab te versenden. In,#+ NL-HaNA_1.04.02_10000_0010.xml,de eerste geleegenheid naar,de Caab te versenden. In zelver voegen hebben wij Caabsche
zijn,of,nog zouden wor„ der charter,#+ NL-HaNA_1.04.02_10000_0012.xml,welke door haar reeds,nog zouden wor„ der charter den 190. c=t worden aengelegd
de,of,niet aan de opperen tweede,#+ NL-HaNA_1.04.02_10000_0013.xml,in overweeging genomen zijn„,niet aan de opperen tweede meester op de scheepen een
gaan,of,wij niet daar een tegen,#+ NL-HaNA_1.04.02_10000_0013.xml,om onse gedagten laaten,wij niet daar een tegen de recognitie lijsten van voormelde
---,of,geene redenen tegens voorsz: vermindering,#+ NL-HaNA_1.04.02_10000_0014.xml,#+,"geene redenen tegens voorsz: vermindering zoude kunnen esc„ teeren, hebben"
een,of,meer kisten op pakjes naer,#+ NL-HaNA_1.04.02_10000_0015.xml,"secretarije, en aldaer in",meer kisten op pakjes naer maate van de volume worden
kist,off,"pacquet zullen moeten worden gedaan,",#+ NL-HaNA_1.04.02_10000_0015.xml,hoorende in een aparte,"pacquet zullen moeten worden gedaan, en aan Bewindhebberen van de"
nisters,of,bediendens bij adver„ tensie moeten,#+ NL-HaNA_1.04.02_10000_0017.xml,gemeende door de mi„,bediendens bij adver„ tensie moeten worden kennis gegeeven van den
een,of,an„ der der voorseide departementen,#+ NL-HaNA_1.04.02_10000_0020.xml,noodige kunde in het,"an„ der der voorseide departementen zodanig, dat zij zelve aan"
capitain,of,"gesaghebber, dat zodanig Cadet de",#+ NL-HaNA_1.04.02_10000_0021.xml,behoorlijke blijk van den,"gesaghebber, dat zodanig Cadet de marine zig behoorlijk hebbe gedraagen."
uE:,of,eenige mi„ nisters op de,#+ NL-HaNA_1.04.02_10000_0022.xml,cadets de marine door,eenige mi„ nisters op de buiten comptoiren tot geene andere
Ht,off,"aan hunne zijde te trekken,",#+ NL-HaNA_1.04.02_10000_0026.xml,"te arbeiden, om dat","aan hunne zijde te trekken, en men kan niet zonder"
'H,off,tegens de Nederlanders voor in,#+ NL-HaNA_1.04.02_10000_0026.xml,en verkeerde indrukken dat,"tegens de Nederlanders voor in te neemen, uE: hebben te"
